OrderID,Region,Product,Quantity,UnitPrice,Discount,AdvertisingSpend,CustomerAge,Sales
1001,East,Clothing,15,2296,5,9066,54,32718.0
1002,West,Food,12,3847,10,7726,29,41547.6
1003,North,Electronics,16,751,0,5662,47,12016.0
1004,East,Electronics,19,869,10,706,44,14859.9
1005,East,Electronics,8,2521,0,5375,56,20168.0
1006,West,Electronics,17,880,15,1819,26,12716.0
1007,North,Furniture,5,1816,15,1641,38,7718.0
1008,North,Electronics,16,4083,20,5127,29,52262.4
1009,East,Furniture,6,1411,10,7889,46,7619.4
1010,South,Furniture,8,3459,0,3190,50,27672.0
1011,East,Electronics,18,622,15,7823,60,9516.6
1012,East,Electronics,12,621,5,3755,32,7079.4
1013,East,Clothing,15,4978,15,8781,19,63469.5
1014,East,Food,9,2420,5,5713,56,20691.0
1015,West,Electronics,13,1035,0,4608,61,13455.0
1016,North,Clothing,15,2330,15,3520,35,29707.5
1017,West,Clothing,10,4140,15,2357,20,35190.0
1018,West,Food,16,4683,0,9496,24,74928.0
1019,West,Furniture,7,3797,15,9636,60,22592.15
1020,East,Electronics,17,2937,5,3289,35,47432.55
1021,South,Food,7,4183,15,4375,61,24888.85
1022,North,Electronics,14,2561,10,8105,55,32268.6
1023,South,Clothing,15,3343,20,8635,54,40116.0
1024,West,Clothing,7,3459,5,6555,50,23002.35
1025,West,Furniture,9,785,10,4382,61,6358.5
1026,South,Clothing,19,2260,0,7675,48,42940.0
1027,South,Clothing,16,4088,5,7629,28,62137.6
1028,South,Food,8,4166,20,5521,21,26662.4
1029,West,Electronics,18,1667,20,5235,35,24004.8
1030,West,Electronics,18,138,0,2887,21,2484.0
1031,North,Food,7,2644,0,7082,51,18508.0
1032,North,Furniture,3,4975,5,9633,46,14178.75
1033,West,Electronics,18,1356,15,6366,41,20746.8
1034,South,Clothing,10,3090,0,3066,39,30900.0
1035,South,Electronics,7,2296,15,1475,19,13661.2
1036,North,Clothing,17,3568,10,7712,61,54590.4
1037,West,Furniture,14,2808,20,9646,23,31449.6
1038,North,Food,3,401,15,1762,59,1022.55
1039,North,Electronics,12,746,20,5547,42,7161.6
1040,East,Food,13,4858,15,9635,38,53680.9
1041,East,Electronics,2,1859,10,7882,33,3346.2
1042,East,Clothing,3,4451,0,6731,48,13353.0
1043,South,Food,5,697,10,3827,31,3136.5
1044,West,Electronics,11,761,0,6130,56,8371.0
1045,West,Clothing,8,4430,0,2759,45,35440.0
1046,West,Food,12,1468,20,1757,49,14092.8
1047,West,Food,7,2681,10,964,45,16890.3
1048,East,Electronics,15,3968,15,3794,26,50592.0
1049,South,Electronics,17,3637,10,7274,62,55646.1
1050,South,Electronics,4,4965,20,7931,39,15888.0
1051,East,Clothing,13,4408,0,1730,49,57304.0
1052,South,Electronics,18,4658,20,9576,22,67075.2
1053,East,Food,1,382,5,4305,40,362.9
1054,West,Food,16,3778,5,6919,22,57425.6
1055,East,Electronics,13,1586,15,6250,59,17525.3
1056,West,Electronics,10,4182,20,4356,49,33456.0
1057,West,Furniture,12,4283,15,3635,27,43686.6
1058,North,Food,2,560,15,7453,56,952.0
1059,East,Clothing,3,2425,5,9616,32,6911.25
1060,North,Furniture,10,3854,15,6534,24,32759.0
1061,East,Electronics,2,2568,5,5089,46,4879.2
1062,East,Electronics,13,1824,0,2046,64,23712.0
1063,North,Food,13,1476,20,6565,20,15350.4
1064,North,Electronics,18,2843,15,1594,36,43497.9
1065,East,Clothing,3,614,5,2911,27,1749.9
1066,South,Food,7,802,10,3117,45,5052.6
1067,West,Electronics,14,1753,15,9454,46,20860.7
1068,North,Food,17,2166,0,4645,32,36822.0
1069,West,Electronics,12,122,0,3275,52,1464.0
1070,South,Electronics,16,2560,10,7128,23,36864.0
1071,South,Electronics,12,1404,5,3655,29,16005.6
1072,South,Clothing,15,3400,15,4470,64,43350.0
1073,North,Clothing,10,461,5,8472,55,4379.5
1074,South,Food,7,3827,0,9275,30,26789.0
1075,North,Electronics,5,1384,5,5915,46,6574.0
1076,South,Electronics,1,614,0,4831,36,614.0
1077,West,Clothing,17,548,5,2442,20,8850.2
1078,West,Electronics,3,1955,10,6526,25,5278.5
1079,East,Clothing,13,3662,20,8801,25,38084.8
1080,West,Electronics,14,2620,10,691,37,33012.0
1081,East,Food,18,3181,10,9595,64,51532.2
1082,West,Electronics,4,1528,20,1361,21,4889.6
1083,North,Electronics,18,4067,20,7211,38,58564.8
1084,West,Furniture,5,1022,15,9775,20,4343.5
1085,East,Clothing,16,3237,15,1149,62,44023.2
1086,East,Electronics,1,2259,10,4634,25,2033.1
1087,South,Electronics,14,2647,10,8087,40,33352.2
1088,North,Furniture,15,3079,0,9328,33,46185.0
1089,West,Furniture,9,2381,0,1536,30,21429.0
1090,South,Clothing,15,2749,15,4631,20,35049.75
1091,West,Furniture,17,413,15,2648,26,5967.85
1092,West,Food,4,2713,0,5957,31,10852.0
1093,South,Furniture,12,3183,0,6579,30,38196.0
1094,South,Food,5,2356,5,2930,24,11191.0
1095,South,Clothing,5,1137,5,2379,32,5400.75
1096,South,Clothing,11,3589,0,8042,24,39479.0
1097,South,Clothing,6,2734,5,2511,55,15583.8
1098,West,Clothing,7,4083,20,3873,51,22864.8
1099,South,Clothing,14,1878,15,7857,58,22348.2
1100,North,Food,11,3995,15,1789,39,37353.25
1101,East,Food,13,1224,0,1947,41,15912.0
1102,South,Clothing,2,797,10,3699,54,1434.6
1103,South,Furniture,7,2279,0,6881,61,15953.0
1104,West,Electronics,4,1504,5,8022,18,5715.2
1105,South,Clothing,8,1143,10,6559,27,8229.6
1106,South,Furniture,19,2029,5,3683,60,36623.45
1107,South,Electronics,13,1113,20,5962,33,11575.2
1108,West,Clothing,14,326,5,3716,63,4335.8
1109,South,Clothing,10,1928,20,3636,25,15424.0
1110,East,Food,11,2123,20,3818,42,18682.4
1111,West,Electronics,2,2552,5,3282,29,4848.8
1112,East,Electronics,9,2185,5,9682,42,18681.75
1113,West,Furniture,17,4383,20,8157,34,59608.8
1114,South,Food,3,1180,10,5420,43,3186.0
1115,East,Food,6,2420,20,6824,63,11616.0
1116,West,Food,5,3290,15,6827,31,13982.5
1117,North,Food,5,2730,20,8917,58,10920.0
1118,South,Electronics,15,2663,10,1276,53,35950.5
1119,West,Electronics,17,3392,15,5708,40,49014.4
1120,North,Clothing,9,4721,0,1187,60,42489.0
1121,West,Clothing,3,3686,0,1029,23,11058.0
1122,North,Food,17,4531,10,5567,64,69324.3
1123,South,Food,10,3047,20,8580,22,24376.0
1124,East,Food,3,4059,5,6018,60,11568.15
1125,North,Clothing,18,2913,10,2653,42,47190.6
1126,West,Furniture,18,2683,15,9986,35,41049.9
1127,South,Furniture,17,261,15,6594,30,3771.45
1128,North,Clothing,3,693,0,7474,60,2079.0
1129,West,Clothing,3,3359,15,5274,31,8565.45
1130,West,Clothing,6,4255,10,8192,45,22977.0
1131,West,Clothing,13,3062,15,3603,35,33835.1
1132,North,Clothing,15,3988,10,2940,45,53838.0
1133,North,Clothing,9,3490,5,4635,44,29839.5
1134,North,Food,4,4601,0,7624,49,18404.0
1135,East,Food,14,763,15,5701,64,9079.7
1136,North,Food,5,1232,10,1344,26,5544.0
1137,North,Food,2,641,20,946,57,1025.6
1138,North,Clothing,11,3074,0,4415,49,33814.0
1139,East,Furniture,9,967,5,3609,37,8267.85
1140,North,Electronics,3,2166,10,1734,45,5848.2
1141,West,Clothing,9,531,5,7087,50,4540.05
1142,North,Electronics,3,4935,5,726,21,14064.75
1143,West,Furniture,2,4378,15,4643,63,7442.6
1144,West,Food,12,1306,15,7685,51,13321.2
