Quantity,UnitPrice,Discount,AdvertisingSpend,CustomerAge,Sales,Region_East,Region_North,Region_South,Region_West,Product_Clothing,Product_Electronics,Product_Food,Product_Furniture
15,2296,5,9066,54,32718.0,True,False,False,False,True,False,False,False
12,3847,10,7726,29,41547.6,False,False,False,True,False,False,True,False
16,751,0,5662,47,12016.0,False,True,False,False,False,True,False,False
19,869,10,706,44,14859.9,True,False,False,False,False,True,False,False
8,2521,0,5375,56,20168.0,True,False,False,False,False,True,False,False
17,880,15,1819,26,12716.0,False,False,False,True,False,True,False,False
5,1816,15,1641,38,7718.0,False,True,False,False,False,False,False,True
16,4083,20,5127,29,52262.4,False,True,False,False,False,True,False,False
6,1411,10,7889,46,7619.4,True,False,False,False,False,False,False,True
8,3459,0,3190,50,27672.0,False,False,True,False,False,False,False,True
18,622,15,7823,60,9516.6,True,False,False,False,False,True,False,False
12,621,5,3755,32,7079.4,True,False,False,False,False,True,False,False
15,4978,15,8781,19,63469.5,True,False,False,False,True,False,False,False
9,2420,5,5713,56,20691.0,True,False,False,False,False,False,True,False
13,1035,0,4608,61,13455.0,False,False,False,True,False,True,False,False
15,2330,15,3520,35,29707.5,False,True,False,False,True,False,False,False
10,4140,15,2357,20,35190.0,False,False,False,True,True,False,False,False
16,4683,0,9496,24,74928.0,False,False,False,True,False,False,True,False
7,3797,15,9636,60,22592.15,False,False,False,True,False,False,False,True
17,2937,5,3289,35,47432.55,True,False,False,False,False,True,False,False
7,4183,15,4375,61,24888.85,False,False,True,False,False,False,True,False
14,2561,10,8105,55,32268.6,False,True,False,False,False,True,False,False
15,3343,20,8635,54,40116.0,False,False,True,False,True,False,False,False
7,3459,5,6555,50,23002.35,False,False,False,True,True,False,False,False
9,785,10,4382,61,6358.5,False,False,False,True,False,False,False,True
19,2260,0,7675,48,42940.0,False,False,True,False,True,False,False,False
16,4088,5,7629,28,62137.6,False,False,True,False,True,False,False,False
8,4166,20,5521,21,26662.4,False,False,True,False,False,False,True,False
18,1667,20,5235,35,24004.8,False,False,False,True,False,True,False,False
18,138,0,2887,21,2484.0,False,False,False,True,False,True,False,False
7,2644,0,7082,51,18508.0,False,True,False,False,False,False,True,False
3,4975,5,9633,46,14178.75,False,True,False,False,False,False,False,True
18,1356,15,6366,41,20746.8,False,False,False,True,False,True,False,False
10,3090,0,3066,39,30900.0,False,False,True,False,True,False,False,False
7,2296,15,1475,19,13661.2,False,False,True,False,False,True,False,False
17,3568,10,7712,61,54590.4,False,True,False,False,True,False,False,False
14,2808,20,9646,23,31449.6,False,False,False,True,False,False,False,True
